Month,Site,Survey,abundance,Acute_prev_prop,Acute_percent,Acropora_cover
April_2021,EB,EB0,5,0.4,40,53.5
April_2021,EB,EB05,7,0.285714286,28.57142857,13
April_2021,EB,EB06,2,0.5,50,3.3
April_2021,EB,EB02,0,0,0,0
April_2021,EB,EB07,1,0,0,0
April_2021,EB,EB11,9,0.222222222,22.22222222,25.3
April_2021,SB,SB01,10,0,0,21.4
April_2021,SB,SB02,5,0,0,1.7
April_2021,SB,SB03,0,0,0,0
April_2021,SB,SB04,5,0,0,20.8
April_2021,SB,SB05,3,0,0,12.5
April_2021,SB,SB06,4,0,0,2.9
April_2022,EB,EB0,6,0,0,0.75
April_2022,EB,EB02,3,0,0,0
April_2022,EB,EB05,14,0.285714286,28.57142857,31
April_2022,EB,EB06,13,0.307692308,30.76923077,41.2
April_2022,EB,EB07,3,0,0,2.7
April_2022,EB,EB11,11,0.090909091,9.090909091,20.2
April_2022,SB,SB01,6,0.166666667,16.66666667,3.2
April_2022,SB,SB02,0,0,0,0
April_2022,SB,SB03,3,0,0,3.6
April_2022,SB,SB04,21,0.476190476,47.61904762,33.6
April_2022,SB,SB05,20,0.4,40,26.2
April_2022,SB,SB06,7,0.285714286,28.57142857,2.5
Sept_2022,EB,EB0,16,0.4375,43.75,0.7
Sept_2022,EB,EB02,5,0,0,0.2
Sept_2022,EB,EB05,15,0.133333333,13.33333333,29.7
Sept_2022,EB,EB06,7,0.142857143,14.28571429,0.6
Sept_2022,EB,EB07,6,0.166666667,16.66666667,2.6
Sept_2022,EB,EB11,18,0.222222222,22.22222222,0
Sept_2022,SB,SB01,10,0.1,10,0
Sept_2022,SB,SB02,2,1,100,0
Sept_2022,SB,SB03,9,0.555555556,55.55555556,0.8
Sept_2022,SB,SB04,18,0.5,50,0.1
Sept_2022,SB,SB05,10,0.4,40,0.1
Sept_2022,SB,SB06,3,0,0,4.2
Dec_2022,EB,EB0,4,0,0,14.1
Dec_2022,EB,EB02,6,0.166666667,16.66666667,4.7
Dec_2022,EB,EB05,6,0.333333333,33.33333333,36.2
Dec_2022,EB,EB06,16,0.1875,18.75,32.6
Dec_2022,EB,EB07,3,0.333333333,33.33333333,0.7
Dec_2022,EB,EB11,4,,,2.7
Dec_2022,SB,SB01,7,0.428571429,42.85714286,9.2
Dec_2022,SB,SB02,15,0.133333333,13.33333333,25.11111111
Dec_2022,SB,SB03,10,0.4,40,21.1
Dec_2022,SB,SB04,6,0,0,3.9
Dec_2022,SB,SB05,8,0.25,25,5.9
Dec_2022,SB,SB06,1,0,0,3.4
April_2023,EB,EB0,17,0.058823529,5.882352941,27.4
April_2023,EB,EB02,17,0.411764706,41.17647059,1.5
April_2023,EB,EB05,5,0.4,40,50.1
April_2023,EB,EB06,8,0.625,62.5,30.3
April_2023,EB,EB07,11,0.090909091,9.090909091,21.6
April_2023,EB,EB11,6,0.333333333,33.33333333,16.4
April_2023,SB,SB01,14,0.071428571,7.142857143,24.5
April_2023,SB,SB02,4,0.5,50,3.9
April_2023,SB,SB03,10,0.2,20,6.4
April_2023,SB,SB04,4,0,0,23.3
April_2023,SB,SB05,19,0.210526316,21.05263158,9.8
April_2023,SB,SB06,4,0,0,3.7
