Month,Site,Survey,Severity,mean_cover
Dec_2022,SB,SB01,4,9.2
Dec_2022,SB,SB01,25,9.2
Dec_2022,SB,SB01,27,9.2
Dec_2022,EB,EB02,5,4.7
Dec_2022,EB,EB05,5,36.2
Dec_2022,EB,EB05,6,36.2
Dec_2022,EB,EB07,45,0.7
Dec_2022,EB,EB06,5,32.6
Dec_2022,EB,EB06,8,32.6
Dec_2022,EB,EB06,9,32.6
Dec_2022,SB,SB02,6,25.11111111
Dec_2022,SB,SB02,7,25.11111111
Dec_2022,SB,SB03,18,21.1
Dec_2022,SB,SB03,12,21.1
Dec_2022,SB,SB03,12,21.1
Dec_2022,SB,SB03,24,21.1
Dec_2022,SB,SB05,28,5.9
Dec_2022,SB,SB05,18,5.9
April_2021,EB,EB0,2,53.5
April_2021,EB,EB0,6,53.5
April_2021,EB,EB05,10,13
April_2021,EB,EB05,6,13
April_2021,EB,EB06,5,3.3
April_2021,EB,EB11,5,25.3
April_2021,EB,EB11,6,25.3
April_2022,EB,EB05,6,31
April_2022,EB,EB05,7,31
April_2022,EB,EB05,14,31
April_2022,EB,EB05,12,31
April_2022,SB,SB01,5,3.2
April_2022,SB,SB04,6,33.6
April_2022,SB,SB04,4,33.6
April_2022,SB,SB04,4,33.6
April_2022,SB,SB04,6,33.6
April_2022,SB,SB04,7,33.6
April_2022,SB,SB04,5,33.6
April_2022,SB,SB04,6,33.6
April_2022,SB,SB04,8,33.6
April_2022,SB,SB04,6,33.6
April_2022,SB,SB04,4,33.6
April_2022,SB,SB05,6,26.2
April_2022,SB,SB05,4,26.2
April_2022,SB,SB05,3,26.2
April_2022,SB,SB05,5,26.2
April_2022,SB,SB05,11,26.2
April_2022,SB,SB05,6,26.2
April_2022,SB,SB05,15,26.2
April_2022,SB,SB05,5,26.2
April_2022,SB,SB06,3,2.5
April_2022,SB,SB06,5,2.5
April_2022,EB,EB11,15,20.2
Sept_2022,EB,EB05,25,50.1
Sept_2022,EB,EB05,14,50.1
Sept_2022,EB,EB11,60,16.4
Sept_2022,EB,EB11,11,16.4
Sept_2022,EB,EB11,21,16.4
Sept_2022,EB,EB11,8,16.4
Sept_2022,SB,SB02,6,3.9
Sept_2022,SB,SB02,3,3.9
Sept_2022,SB,SB04,9,23.3
Sept_2022,SB,SB04,55,23.3
Sept_2022,SB,SB04,5,23.3
Sept_2022,SB,SB04,7,23.3
Sept_2022,SB,SB04,24,23.3
Sept_2022,SB,SB04,4,23.3
Sept_2022,SB,SB04,9,23.3
Sept_2022,SB,SB04,8,23.3
Sept_2022,SB,SB04,10,23.3
Sept_2022,SB,SB05,6,9.8
Sept_2022,SB,SB05,8,9.8
Sept_2022,SB,SB05,6,9.8
Sept_2022,SB,SB05,4,9.8
Sept_2022,SB,SB01,53,24.5
Sept_2022,EB,EB06,6,30.3
Sept_2022,EB,EB07,10,21.6
Sept_2022,SB,SB03,20,6.4
Sept_2022,SB,SB03,20,6.4
Sept_2022,SB,SB03,8,6.4
Sept_2022,SB,SB03,19,6.4
Sept_2022,SB,SB03,6,6.4
April_2022,EB,EB06,20,41.2
April_2022,EB,EB06,28,41.2
April_2022,EB,EB06,36,41.2
April_2023,SB,SB01,30,0
April_2023,SB,SB02,12,0
April_2023,SB,SB02,7,0
April_2023,SB,SB03,45,0.8
April_2023,SB,SB03,33,0.8
April_2023,SB,SB05,6,0.1
April_2023,SB,SB05,5,0.1
April_2023,SB,SB05,7,0.1
April_2023,SB,SB05,6,0.1
April_2023,EB,EB0,5,0.7
April_2023,EB,EB02,8,0.2
April_2023,EB,EB02,16,0.2
April_2023,EB,EB02,20,0.2
April_2023,EB,EB02,5,0.2
April_2023,EB,EB02,10,0.2
April_2023,EB,EB02,20,0.2
April_2023,EB,EB02,30,0.2
April_2023,EB,EB05,15,29.7
April_2023,EB,EB05,25,29.7
April_2023,EB,EB06,7,0.6
April_2023,EB,EB06,20,0.6
April_2023,EB,EB06,17,0.6
April_2023,EB,EB06,10,0.6
April_2023,EB,EB06,15,0.6
April_2023,EB,EB07,5,2.6
April_2023,EB,EB11,13,0
April_2023,EB,EB11,5,0
