"","Month","Site","Survey","Taxa","Growth_form","Size","Syndrome","Disease_type","Acute","Chronic","Severity","Paling","Recent_overgrowth","Old_overgrowth","Partial_mortality","GA","GA_area","Black_disease_signs"
"1","2022_April","Cem","1","Acro","Plating","Large","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"2","2022_April","Cem","1","Acro","Plating","Large","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"3","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"4","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"5","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"6","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"7","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"8","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"9","2022_April","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"10","2022_April","Cem","1","Acro","Plating","Large","Healthy","Healthy","Healthy","Diseased",20,"No",NA,NA,NA,"No",NA,""
"11","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"12","2022_April","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"13","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"14","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"15","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"16","2022_April","Cem","1","Acro","Plating","Large","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"17","2022_April","Cem","1","Acro","Plating","Medium","Diseased","Acute","Diseased","Healthy",7,"No",NA,NA,NA,"No",NA,""
"18","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"Yes",5,""
"19","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"20","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"21","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"22","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"23","2022_April","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"24","2022_April","Cem","1","Acro","Plating","Medium","Diseased","Acute","Diseased","Healthy",4,"No",NA,NA,NA,"No",NA,""
"25","2022_April","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"26","2022_April","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"27","2022_April","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"28","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"Yes",18,""
