Month,Site,Survey,abundance,Chronic_prev_prop,Chronic_percent,Acropora_cover
April_2021,EB,EB0,5,0.2,20,53.5
April_2021,EB,EB05,7,0,0,13
April_2021,EB,EB06,2,0,0,3.3
April_2021,EB,EB02,0,0,0,0
April_2021,EB,EB07,1,0,0,0
April_2021,EB,EB11,9,0.222222222,22.22222222,25.3
April_2021,SB,SB01,10,0,0,21.4
April_2021,SB,SB02,5,0,0,1.7
April_2021,SB,SB03,0,0,0,0
April_2021,SB,SB04,5,0,0,20.8
April_2021,SB,SB05,3,0,0,12.5
April_2021,SB,SB06,4,0,0,2.9
April_2022,EB,EB0,6,0,0,0.75
April_2022,EB,EB02,3,0,0,0
April_2022,EB,EB05,14,0,0,31
April_2022,EB,EB06,13,0.461538462,46.15384615,41.2
April_2022,EB,EB07,3,0.333333333,33.33333333,2.7
April_2022,EB,EB11,11,0,0,20.2
April_2022,SB,SB01,6,0.166666667,16.66666667,3.2
April_2022,SB,SB02,0,0,0,0
April_2022,SB,SB03,3,0,0,3.6
April_2022,SB,SB04,21,0,0,33.6
April_2022,SB,SB05,20,0,0,26.2
April_2022,SB,SB06,7,0,0,2.5
Sept_2022,EB,EB0,16,0,0,0.7
Sept_2022,EB,EB02,5,0,0,0.2
Sept_2022,EB,EB05,15,0,0,29.7
Sept_2022,EB,EB06,7,0,0,0.6
Sept_2022,EB,EB07,6,0,0,2.6
Sept_2022,EB,EB11,18,0,0,0
Sept_2022,SB,SB01,10,0,0,0
Sept_2022,SB,SB02,2,0,0,0
Sept_2022,SB,SB03,9,0,0,0.8
Sept_2022,SB,SB04,18,0.055555556,5.555555556,0.1
Sept_2022,SB,SB05,10,0,0,0.1
Sept_2022,SB,SB06,3,0,0,4.2
Dec_2022,EB,EB0,4,0,0,14.1
Dec_2022,EB,EB02,6,0,0,4.7
Dec_2022,EB,EB05,6,0,0,36.2
Dec_2022,EB,EB06,16,0,0,32.6
Dec_2022,EB,EB07,3,0.333333333,33.33333333,0.7
Dec_2022,EB,EB11,4,0.25,25,2.7
Dec_2022,SB,SB01,7,0.142857143,14.28571429,9.2
Dec_2022,SB,SB02,15,0,0,25.11111111
Dec_2022,SB,SB03,10,0,0,21.1
Dec_2022,SB,SB04,6,0,0,3.9
Dec_2022,SB,SB05,8,0,0,5.9
Dec_2022,SB,SB06,1,0,0,3.4
April_2023,EB,EB0,17,0,0,27.4
April_2023,EB,EB02,17,0,0,1.5
April_2023,EB,EB05,5,0,0,50.1
April_2023,EB,EB06,8,0,0,30.3
April_2023,EB,EB07,11,0,0,21.6
April_2023,EB,EB11,6,0,0,16.4
April_2023,SB,SB01,14,0.142857143,14.28571429,24.5
April_2023,SB,SB02,4,0,0,3.9
April_2023,SB,SB03,10,0,0,6.4
April_2023,SB,SB04,4,0,0,23.3
April_2023,SB,SB05,19,0,0,9.8
April_2023,SB,SB06,4,0,0,3.7
