Month,Site,Survey,GA_area,mean_cover
Dec_2022,EB,EB11,90,2.7
Dec_2022,EB,EB02,26,4.7
Dec_2022,EB,EB05,60,36.2
Dec_2022,EB,EB05,8,36.2
Dec_2022,EB,EB05,12,36.2
Dec_2022,SB,SB02,7,25.11111111
Dec_2022,SB,SB03,6,21.1
April_2021,EB,EB0,4,53.5
April_2021,EB,EB06,2,3.3
April_2021,EB,EB11,3,25.3
April_2021,SB,SB01,4,21.4
April_2021,SB,SB01,7,21.4
April_2022,EB,EB05,3,31
April_2022,SB,SB04,40,33.6
April_2022,SB,SB04,6,33.6
April_2022,SB,SB04,7,33.6
April_2022,SB,SB04,6,33.6
April_2022,SB,SB04,2,33.6
April_2022,SB,SB04,5,33.6
April_2022,SB,SB04,4,33.6
Sept_2022,EB,EB05,20,50.1
Sept_2022,EB,EB05,19,50.1
Sept_2022,EB,EB05,90,50.1
Sept_2022,EB,EB05,54,50.1
Sept_2022,EB,EB05,40,50.1
Sept_2022,EB,EB05,22,50.1
Sept_2022,EB,EB11,8,16.4
Sept_2022,EB,EB11,6,16.4
Sept_2022,EB,EB11,4,16.4
Sept_2022,EB,EB11,3,16.4
Sept_2022,EB,EB11,5,16.4
Sept_2022,EB,EB06,48,30.3
April_2022,EB,EB06,20,41.2
April_2022,EB,EB06,23,41.2
April_2022,EB,EB06,10,41.2
April_2022,EB,EB06,3,41.2
April_2022,EB,EB06,4,41.2
April_2022,EB,EB06,100,41.2
April_2022,EB,EB06,20,41.2
April_2022,EB,EB06,30,41.2
April_2022,EB,EB06,35,41.2
April_2023,EB,EB0,18,0.7
April_2023,EB,EB0,39,0.7
April_2023,EB,EB0,80,0.7
April_2023,EB,EB0,30,0.7
April_2023,EB,EB0,50,0.7
April_2023,EB,EB0,10,0.7
April_2023,EB,EB0,18,0.7
April_2023,EB,EB11,90,0
