Sample_ID,Level,Health,Sampe_no,Rating_TCR,Rating_secondary,Score
57,1,Chronic_D,2,T,Host,4
57,1,Chronic_D,2,T,Symbiont,5
57,1,Chronic_D,2,C,Bacterial,3
57,1,Chronic_D,2,C,Skeletal,3
57,1,Chronic_D,2,C,Metazoan,1
57,1,Chronic_D,2,R,R,3
58,1,Chronic_D,1,T,Host,4
58,1,Chronic_D,1,T,Symbiont,5
58,1,Chronic_D,1,C,Bacterial,3
58,1,Chronic_D,1,C,Skeletal,5
58,1,Chronic_D,1,C,Metazoan,1
58,1,Chronic_D,1,R,R,5
10,1,Healthy,4,T,Host,3
10,1,Healthy,4,T,Symbiont,1
10,1,Healthy,4,C,Bacterial,1
10,1,Healthy,4,C,Skeletal,1
10,1,Healthy,4,C,Metazoan,1
10,1,Healthy,4,R,R,3
11,1,Healthy,2,T,Host,3
11,1,Healthy,2,T,Symbiont,1
11,1,Healthy,2,C,Bacterial,1
11,1,Healthy,2,C,Skeletal,1
11,1,Healthy,2,C,Metazoan,1
11,1,Healthy,2,R,R,3
13,1,Healthy,3,T,Host,3
13,1,Healthy,3,T,Symbiont,1
13,1,Healthy,3,C,Bacterial,1
13,1,Healthy,3,C,Skeletal,1
13,1,Healthy,3,C,Metazoan,1
13,1,Healthy,3,R,R,3
14,1,Acute_H,1,T,Host,4
14,1,Acute_H,1,T,Symbiont,1
14,1,Acute_H,1,C,Bacterial,5
14,1,Acute_H,1,C,Skeletal,1
14,1,Acute_H,1,C,Metazoan,1
14,1,Acute_H,1,R,R,3
16,1,Healthy,1,T,Host,3
16,1,Healthy,1,T,Symbiont,3
16,1,Healthy,1,C,Bacterial,1
16,1,Healthy,1,C,Skeletal,3
16,1,Healthy,1,C,Metazoan,1
16,1,Healthy,1,R,R,5
17,1,Acute_D,3,T,Host,4
17,1,Acute_D,3,T,Symbiont,3
17,1,Acute_D,3,C,Bacterial,5
17,1,Acute_D,3,C,Skeletal,1
17,1,Acute_D,3,C,Metazoan,3
17,1,Acute_D,3,R,R,3
18,1,Acute_H,3,T,Host,3
18,1,Acute_H,3,T,Symbiont,3
18,1,Acute_H,3,C,Bacterial,3
18,1,Acute_H,3,C,Skeletal,1
18,1,Acute_H,3,C,Metazoan,1
18,1,Acute_H,3,R,R,3
19,1,Chronic_H,4,T,Host,3
19,1,Chronic_H,4,T,Symbiont,3
19,1,Chronic_H,4,C,Bacterial,3
19,1,Chronic_H,4,C,Skeletal,1
19,1,Chronic_H,4,C,Metazoan,1
19,1,Chronic_H,4,R,R,3
20,1,Chronic_D,4,T,Host,4
20,1,Chronic_D,4,T,Symbiont,3
20,1,Chronic_D,4,C,Bacterial,1
20,1,Chronic_D,4,C,Skeletal,5
20,1,Chronic_D,4,C,Metazoan,1
20,1,Chronic_D,6,R,R,3
21,1,Chronic_D,6,T,Host,5
21,1,Chronic_D,6,T,Symbiont,5
21,1,Chronic_D,6,C,Bacterial,3
21,1,Chronic_D,6,C,Skeletal,5
21,1,Chronic_D,6,C,Metazoan,1
21,1,Chronic_D,6,R,R,0
22,1,Acute_D,4,T,Host,4
22,1,Acute_D,4,T,Symbiont,3
22,1,Acute_D,4,C,Bacterial,3
22,1,Acute_D,4,C,Skeletal,1
22,1,Acute_D,4,C,Metazoan,1
22,1,Acute_D,4,R,R,3
25,1,Chronic_H,3,T,Host,3
25,1,Chronic_H,3,T,Symbiont,1
25,1,Chronic_H,3,C,Bacterial,3
25,1,Chronic_H,3,C,Skeletal,1
25,1,Chronic_H,3,C,Metazoan,1
25,1,Chronic_H,3,R,R,3
26,1,GA_D,3,T,Host,2
26,1,GA_D,3,T,Symbiont,3
26,1,GA_D,3,C,Bacterial,3
26,1,GA_D,3,C,Skeletal,1
26,1,GA_D,3,C,Metazoan,1
26,1,GA_D,3,R,R,3
27,1,GA_H,2,T,Host,3
27,1,GA_H,2,T,Symbiont,1
27,1,GA_H,2,C,Bacterial,1
27,1,GA_H,2,C,Skeletal,1
27,1,GA_H,2,C,Metazoan,1
27,1,GA_H,2,R,R,3
28,1,GA_H,1,T,Host,3
28,1,GA_H,1,T,Symbiont,3
28,1,GA_H,1,C,Bacterial,1
28,1,GA_H,1,C,Skeletal,1
28,1,GA_H,1,C,Metazoan,1
28,1,GA_H,1,R,R,3
31,1,GA_D,2,T,Host,2
31,1,GA_D,2,T,Symbiont,3
31,1,GA_D,2,C,Bacterial,3
31,1,GA_D,2,C,Skeletal,1
31,1,GA_D,2,C,Metazoan,1
31,1,GA_D,2,R,R,5
33,1,GA_D,1,T,Host,2
33,1,GA_D,1,T,Symbiont,3
33,1,GA_D,1,C,Bacterial,1
33,1,GA_D,1,C,Skeletal,3
33,1,GA_D,1,C,Metazoan,1
33,1,GA_D,1,R,R,3
1,1,Chronic_D,5,T,Host,4
1,1,Chronic_D,5,T,Symbiont,3
1,1,Chronic_D,5,C,Bacterial,1
1,1,Chronic_D,5,C,Skeletal,5
1,1,Chronic_D,5,C,Metazoan,1
1,1,Chronic_D,5,R,R,3
2,1,Chronic_H,5,T,Host,3
2,1,Chronic_H,5,T,Symbiont,1
2,1,Chronic_H,5,C,Bacterial,1
2,1,Chronic_H,5,C,Skeletal,1
2,1,Chronic_H,5,C,Metazoan,1
2,1,Chronic_H,5,R,R,5
3,1,Acute_D,5,T,Host,5
3,1,Acute_D,5,T,Symbiont,1
3,1,Acute_D,5,C,Bacterial,1
3,1,Acute_D,5,C,Skeletal,1
3,1,Acute_D,5,C,Metazoan,1
3,1,Acute_D,5,R,R,3
4,1,Acute_H,5,T,Host,4
4,1,Acute_H,5,T,Symbiont,3
4,1,Acute_H,5,C,Bacterial,5
4,1,Acute_H,5,C,Skeletal,1
4,1,Acute_H,5,C,Metazoan,1
4,1,Acute_H,5,R,R,3
5,1,Acute_D,2,T,Host,5
5,1,Acute_D,2,T,Symbiont,3
5,1,Acute_D,2,C,Bacterial,1
5,1,Acute_D,2,C,Skeletal,1
5,1,Acute_D,2,C,Metazoan,1
5,1,Acute_D,2,R,R,5
6,1,Acute_H,2,T,Host,4
6,1,Acute_H,2,T,Symbiont,3
6,1,Acute_H,2,C,Bacterial,3
6,1,Acute_H,2,C,Skeletal,1
6,1,Acute_H,2,C,Metazoan,1
6,1,Acute_H,2,R,R,3
