"","Month","Site","Survey","abundance","Acute_prev_prop","Acute_percent","Acropora_cover","acute_diseased","Month","Site","Survey","abundance","Chronic_prev_prop","Chronic_percent","Acropora_cover","chronic_diseased","Month","Site","Survey","abundance","Paling_prev_prop","Paling_percent","Acropora_cover","paling_diseased"
"1","April_2021","EB","EB0",5,0.4,40,53.5,2,"April_2021","EB","EB0",5,0.2,20,53.5,1,"April_2021","EB","EB0",5,0.2,20,53.5,1
"2","April_2021","EB","EB05",7,0.285714286,28.57142857,13,2.000000002,"April_2021","EB","EB05",7,0,0,13,0,"April_2021","EB","EB05",7,0.428571429,42.85714286,13,3.000000003
"3","April_2021","EB","EB06",2,0.5,50,3.3,1,"April_2021","EB","EB06",2,0,0,3.3,0,"April_2021","EB","EB06",2,1,100,3.3,2
"4","April_2021","EB","EB02",0,0,0,0,0,"April_2021","EB","EB02",0,0,0,0,0,"April_2021","EB","EB02",0,0,0,0,0
"5","April_2021","EB","EB07",1,0,0,0,0,"April_2021","EB","EB07",1,0,0,0,0,"April_2021","EB","EB07",1,0,0,0,0
"6","April_2021","EB","EB11",9,0.222222222,22.22222222,25.3,1.999999998,"April_2021","EB","EB11",9,0.222222222,22.22222222,25.3,1.999999998,"April_2021","EB","EB11",9,0.222222222,22.22222222,25.3,1.999999998
"7","April_2021","SB","SB01",10,0,0,21.4,0,"April_2021","SB","SB01",10,0,0,21.4,0,"April_2021","SB","SB01",10,0.3,30,21.4,3
"8","April_2021","SB","SB02",5,0,0,1.7,0,"April_2021","SB","SB02",5,0,0,1.7,0,"April_2021","SB","SB02",5,0,0,1.7,0
"9","April_2021","SB","SB03",0,0,0,0,0,"April_2021","SB","SB03",0,0,0,0,0,"April_2021","SB","SB03",0,0,0,0,0
"10","April_2021","SB","SB04",5,0,0,20.8,0,"April_2021","SB","SB04",5,0,0,20.8,0,"April_2021","SB","SB04",5,0,0,20.8,0
"11","April_2021","SB","SB05",3,0,0,12.5,0,"April_2021","SB","SB05",3,0,0,12.5,0,"April_2021","SB","SB05",3,0,0,12.5,0
"12","April_2021","SB","SB06",4,0,0,2.9,0,"April_2021","SB","SB06",4,0,0,2.9,0,"April_2021","SB","SB06",4,0,0,2.9,0
"13","April_2022","EB","EB0",6,0,0,0.75,0,"April_2022","EB","EB0",6,0,0,0.75,0,"April_2022","EB","EB0",6,0,0,0.75,0
"14","April_2022","EB","EB02",3,0,0,0,0,"April_2022","EB","EB02",3,0,0,0,0,"April_2022","EB","EB02",3,0,0,0,0
"15","April_2022","EB","EB05",14,0.285714286,28.57142857,31,4.000000004,"April_2022","EB","EB05",14,0,0,31,0,"April_2022","EB","EB05",14,0,0,31,0
"16","April_2022","EB","EB06",13,0.307692308,30.76923077,41.2,4.000000004,"April_2022","EB","EB06",13,0.461538462,46.15384615,41.2,6.000000006,"April_2022","EB","EB06",13,0,0,41.2,0
"17","April_2022","EB","EB07",3,0,0,2.7,0,"April_2022","EB","EB07",3,0.333333333,33.33333333,2.7,0.999999999,"April_2022","EB","EB07",3,0.333333333,33.33333333,2.7,0.999999999
"18","April_2022","EB","EB11",11,0.090909091,9.090909091,20.2,1.000000001,"April_2022","EB","EB11",11,0,0,20.2,0,"April_2022","EB","EB11",11,0,0,20.2,0
"19","April_2022","SB","SB01",6,0.166666667,16.66666667,3.2,1.000000002,"April_2022","SB","SB01",6,0.166666667,16.66666667,3.2,1.000000002,"April_2022","SB","SB01",6,0.166666667,16.66666667,3.2,1.000000002
"20","April_2022","SB","SB02",0,0,0,0,0,"April_2022","SB","SB02",0,0,0,0,0,"April_2022","SB","SB02",0,0,0,0,0
"21","April_2022","SB","SB03",3,0,0,3.6,0,"April_2022","SB","SB03",3,0,0,3.6,0,"April_2022","SB","SB03",3,0,0,3.6,0
"22","April_2022","SB","SB04",21,0.476190476,47.61904762,33.6,9.999999996,"April_2022","SB","SB04",21,0,0,33.6,0,"April_2022","SB","SB04",21,0.095238095,9.523809524,33.6,1.999999995
"23","April_2022","SB","SB05",20,0.4,40,26.2,8,"April_2022","SB","SB05",20,0,0,26.2,0,"April_2022","SB","SB05",20,0,0,26.2,0
"24","April_2022","SB","SB06",7,0.285714286,28.57142857,2.5,2.000000002,"April_2022","SB","SB06",7,0,0,2.5,0,"April_2022","SB","SB06",7,0,0,2.5,0
"25","Sept_2022","EB","EB0",16,0.4375,43.75,0.7,7,"Sept_2022","EB","EB0",16,0,0,0.7,0,"Sept_2022","EB","EB0",16,0,0,0.7,0
"26","Sept_2022","EB","EB02",5,0,0,0.2,0,"Sept_2022","EB","EB02",5,0,0,0.2,0,"Sept_2022","EB","EB02",5,0,0,0.2,0
"27","Sept_2022","EB","EB05",15,0.133333333,13.33333333,29.7,1.999999995,"Sept_2022","EB","EB05",15,0,0,29.7,0,"Sept_2022","EB","EB05",15,0,0,29.7,0
"28","Sept_2022","EB","EB06",7,0.142857143,14.28571429,0.6,1.000000001,"Sept_2022","EB","EB06",7,0,0,0.6,0,"Sept_2022","EB","EB06",7,0,0,0.6,0
"29","Sept_2022","EB","EB07",6,0.166666667,16.66666667,2.6,1.000000002,"Sept_2022","EB","EB07",6,0,0,2.6,0,"Sept_2022","EB","EB07",6,0,0,2.6,0
"30","Sept_2022","EB","EB11",18,0.222222222,22.22222222,0,3.999999996,"Sept_2022","EB","EB11",18,0,0,0,0,"Sept_2022","EB","EB11",18,0,0,0,0
"31","Sept_2022","SB","SB01",10,0.1,10,0,1,"Sept_2022","SB","SB01",10,0,0,0,0,"Sept_2022","SB","SB01",10,0,0,0,0
